<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.15	08:00:00	22.418	22.499	22.411	22.492	746	0	18
2024.02.15	09:00:00	22.489	22.544	22.462	22.493	1880	0	8
2024.02.15	10:00:00	22.495	22.574	22.472	22.547	2019	0	8
2024.02.15	11:00:00	22.547	22.570	22.501	22.548	1233	0	8
2024.02.15	12:00:00	22.554	22.611	22.543	22.572	1377	0	8
2024.02.15	13:00:00	22.573	22.643	22.561	22.633	1271	0	8
2024.02.15	14:00:00	22.633	22.714	22.604	22.705	1696	0	8
2024.02.15	15:00:00	22.702	22.866	22.623	22.752	6499	0	8
2024.02.15	16:00:00	22.751	22.976	22.681	22.919	7103	0	19
2024.02.15	17:00:00	22.918	23.029	22.840	22.862	5937	0	19
2024.02.15	18:00:00	22.862	22.893	22.770	22.806	3463	0	8
2024.02.15	19:00:00	22.806	22.882	22.803	22.864	2175	0	8
2024.02.15	20:00:00	22.863	22.928	22.863	22.904	1942	0	8
2024.02.15	21:00:00	22.905	22.944	22.894	22.916	1224	0	8
2024.02.15	22:00:00	22.914	22.927	22.884	22.901	1133	0	8
2024.02.15	23:00:00	22.891	22.922	22.877	22.922	519	0	11
2024.02.16	01:00:00	22.949	22.974	22.943	22.945	603	0	16
2024.02.16	02:00:00	22.945	22.954	22.876	22.883	680	0	18
2024.02.16	03:00:00	22.885	22.984	22.872	22.977	963	0	18
2024.02.16	04:00:00	22.979	22.985	22.930	22.958	901	0	18
2024.02.16	05:00:00	22.959	22.992	22.929	22.958	756	0	18
2024.02.16	06:00:00	22.964	22.968	22.930	22.942	814	0	16
2024.02.16	07:00:00	22.941	22.981	22.936	22.944	652	0	18
2024.02.16	08:00:00	22.952	22.976	22.924	22.944	859	0	18
2024.02.16	09:00:00	22.943	23.002	22.926	22.985	1756	0	8
2024.02.16	10:00:00	22.984	23.012	22.944	22.982	1875	0	8
2024.02.16	11:00:00	22.983	23.011	22.956	22.982	1455	0	8
2024.02.16	12:00:00	22.981	23.011	22.971	22.991	1523	0	8
2024.02.16	13:00:00	22.991	23.028	22.979	23.012	1396	0	8
2024.02.16	14:00:00	23.012	23.023	22.958	22.964	1463	0	8
2024.02.16	15:00:00	22.963	23.061	22.782	23.006	5387	0	9
2024.02.16	16:00:00	23.007	23.076	22.850	22.897	5969	0	19
2024.02.16	17:00:00	22.899	23.240	22.882	23.170	5999	0	19
2024.02.16	18:00:00	23.171	23.317	23.162	23.300	3322	0	8
2024.02.16	19:00:00	23.300	23.427	23.276	23.418	2456	0	8
2024.02.16	20:00:00	23.418	23.463	23.387	23.452	2232	0	8
2024.02.16	21:00:00	23.453	23.497	23.394	23.423	1550	0	8
2024.02.16	22:00:00	23.420	23.428	23.379	23.384	1542	0	8
2024.02.16	23:00:00	23.375	23.420	23.371	23.406	634	0	11
2024.02.19	01:00:00	23.346	23.405	23.346	23.377	530	0	32
2024.02.19	02:00:00	23.384	23.440	23.351	23.373	1119	0	29
2024.02.19	03:00:00	23.371	23.371	23.008	23.053	3236	0	18
2024.02.19	04:00:00	23.053	23.120	23.041	23.115	1535	0	18
2024.02.19	05:00:00	23.116	23.129	23.074	23.081	1094	0	18
2024.02.19	06:00:00	23.085	23.107	23.037	23.093	919	0	18
2024.02.19	07:00:00	23.093	23.125	23.067	23.080	1095	0	18
2024.02.19	08:00:00	23.077	23.136	23.071	23.125	1438	0	18
2024.02.19	09:00:00	23.126	23.161	23.115	23.158	1663	0	8
2024.02.19	10:00:00	23.160	23.163	23.080	23.088	2399	0	8
2024.02.19	11:00:00	23.088	23.129	23.072	23.112	1693	0	8
2024.02.19	12:00:00	23.113	23.140	23.099	23.109	1484	0	6
