DATETIME,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>,RSI
2022-05-23 17:00:00,21.879,21.915,21.828,21.854,1593,0,2,45.866296255557
2022-05-23 18:00:00,21.854,21.909,21.665,21.765,1290,0,4,40.823297471033165
2022-05-23 19:00:00,21.765,21.781,21.706,21.757,1130,0,6,40.393375145466514
2022-05-23 20:00:00,21.757,21.797,21.713,21.797,761,0,5,43.59209756943149
2022-05-23 21:00:00,21.801,21.872,21.791,21.818,766,0,4,45.25315670194258
2022-05-23 22:00:00,21.819,21.838,21.753,21.772,778,0,4,42.31381202658967
2022-05-23 23:00:00,21.769,21.78,21.762,21.768,173,0,16,42.05799055181941
2022-05-24 01:00:00,21.773,21.799,21.724,21.735,227,0,13,39.91401937940245
2022-05-24 02:00:00,21.737,21.751,21.727,21.744,318,0,15,40.80036419822052
2022-05-24 03:00:00,21.747,21.768,21.717,21.719,511,0,13,39.07602721493008
2022-05-24 04:00:00,21.719,21.76,21.68,21.685,935,0,16,36.798261773503384
2022-05-24 05:00:00,21.685,21.719,21.66,21.71,458,0,19,39.58679760030415
2022-05-24 06:00:00,21.71,21.791,21.71,21.79,562,0,18,47.560187437449144
2022-05-24 07:00:00,21.79,21.796,21.74,21.74,222,0,16,43.67995268760879
2022-05-24 08:00:00,21.74,21.775,21.701,21.726,678,0,16,42.63117259259266
2022-05-24 09:00:00,21.722,21.759,21.681,21.744,977,0,11,44.47705455804362
2022-05-24 10:00:00,21.744,21.897,21.744,21.896,1469,0,12,57.04574233004184
2022-05-24 11:00:00,21.9,21.917,21.79,21.795,1173,0,11,49.093274667983664
2022-05-24 12:00:00,21.795,21.913,21.795,21.846,1040,0,12,52.6804512517297
2022-05-24 13:00:00,21.846,21.915,21.824,21.905,1358,0,13,56.4993638728035
2022-05-24 14:00:00,21.906,21.962,21.89,21.91,1246,0,10,56.81742481494839
2022-05-24 15:00:00,21.905,21.954,21.802,21.923,1553,0,9,57.68374804280503
2022-05-24 16:00:00,21.923,22.159,21.922,22.156,1861,0,1,69.49585811698826
